Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Davila Torrado Alan,22,72,10,7,0,22,2,24,11,217,158,43,45,403,0.7083,137-2022-2023,10-2022-2023,2022-2023
Valino Sanz Isaac,23,76,8,16,1,34,9,13,6,220,113,27,24,252,0.6447,26-2022-2023,2-2022-2023,2022-2023
Leon Yohan,20,65,6,21,0,30,20,51,14,194,146,34,28,287,0.5846,22-2022-2023,2-2022-2023,2022-2023
De Carvalho Cavalcante Gabriel,12,37,7,10,0,22,9,19,4,112,91,32,30,270,0.4324,168-2022-2023,12-2022-2023,2022-2023
Alves Ramos Vitor,14,43,5,11,0,23,4,21,5,125,84,13,30,204,0.4186,2-2022-2023,1-2022-2023,2022-2023
Fernandez Rodriguez Francisco,5,16,3,1,0,7,2,12,2,54,27,5,8,78,0.375,49-2022-2023,3-2022-2023,2022-2023
Neviadomskyi Stanislav,7,17,1,9,0,13,2,14,2,48,39,5,8,76,0.3529,116-2022-2023,8-2022-2023,2022-2023
Gonzalez Limon Juan Manuel,23,84,23,32,4,92,13,56,5,322,179,32,65,498,0.3095,151-2022-2023,11-2022-2023,2022-2023
Morato Noguer Ferran,19,61,12,14,1,31,19,47,8,175,90,22,30,262,0.1148,52-2022-2023,4-2022-2023,2022-2023
Rodriguez Bonilla Roberto,21,54,5,14,1,23,2,21,1,113,73,30,15,201,-0.0185,177-2022-2023,12-2022-2023,2022-2023
Amador Romaguera Sergio,12,35,2,4,0,10,5,25,11,115,61,17,28,166,-0.1714,40-2022-2023,3-2022-2023,2022-2023
Biliato Luca,18,46,6,6,0,16,4,26,1,85,53,22,25,148,-0.3478,14-2022-2023,1-2022-2023,2022-2023
Fernandez Martinez Francisco Jose,1,4,2,3,1,8,0,5,1,13,9,2,2,22,-0.5,30-2022-2023,3-2022-2023,2022-2023
Fernandez Martinez Francisco Jose,1,4,2,3,1,8,0,5,1,13,9,2,2,22,-0.5,161-2022-2023,11-2022-2023,2022-2023
Hernandez Cardonell Yosvany,17,48,21,10,0,40,24,60,8,150,186,24,29,347,2.25,49-2021-2022,4-2021-2022,2022-2023
Cuminetti Luca,21,71,15,7,0,24,10,26,11,240,225,45,30,500,2.0,159-2021-2022,11-2021-2022,2022-2023
Benavidez Felipe,22,87,12,10,0,29,39,77,24,340,315,65,53,626,1.8506,135-2021-2022,10-2021-2022,2022-2023
Ereu Thomas,22,80,17,8,2,33,14,34,13,267,216,36,26,455,1.7625,26-2021-2022,2-2021-2022,2022-2023
Giustiniano Mariano Ariel,27,100,29,16,1,58,13,38,19,313,235,28,27,443,1.67,110-2021-2022,8-2021-2022,2022-2023
Villalba Zamorano Jose,23,87,28,26,1,72,17,43,22,358,235,28,37,475,1.6667,119-2021-2022,9-2021-2022,2022-2023
Petty Gregory C.,20,82,23,13,2,43,32,65,25,316,229,44,40,488,1.4634,24-2021-2022,2-2021-2022,2022-2023
Monfort Minaya Javier,29,101,30,28,1,82,48,89,26,427,267,54,44,556,1.2772,108-2021-2022,8-2021-2022,2022-2023
Filter Albrecht Caetano,22,81,27,7,0,42,24,93,14,262,231,42,44,491,1.1852,32-2021-2022,3-2021-2022,2022-2023
Jimenez Scull Javier Ernesto,23,80,29,45,3,125,20,38,16,305,182,27,25,399,1.1625,160-2021-2022,12-2021-2022,2022-2023
Vanole Nogueira Silva Thiago,23,86,16,15,0,37,43,99,29,377,241,38,49,455,1.1512,27-2021-2022,3-2021-2022,2022-2023
Cairus Renzo,26,99,25,16,1,64,22,53,8,378,253,62,56,618,1.1313,62-2021-2022,5-2021-2022,2022-2023
Gonzalez Limon Juan Manuel,28,104,29,32,3,86,28,87,23,420,252,31,40,520,1.1154,163-2021-2022,12-2021-2022,2022-2023
Bouza Ferreiro Victor,19,74,12,7,0,19,12,45,6,240,225,50,66,552,1.0946,3-2021-2022,1-2021-2022,2022-2023
Vildosola Mariano,23,87,9,11,0,25,7,30,14,242,157,17,22,319,1.069,25-2021-2022,2-2021-2022,2022-2023
Funes Facundo Jesus,20,73,15,12,0,32,12,34,11,216,144,25,22,288,1.0685,85-2021-2022,7-2021-2022,2022-2023
Olalla Gomez Adrian,21,66,11,20,2,43,14,39,9,201,177,34,40,368,1.0152,118-2021-2022,9-2021-2022,2022-2023
Gimenez Hernandez Jose Maria,24,90,22,8,0,43,16,40,14,314,185,38,47,464,1.0,59-2021-2022,5-2021-2022,2022-2023
Hage Guillerme,26,91,31,28,2,89,22,55,20,304,183,24,41,415,0.9451,41-2021-2022,4-2021-2022,2022-2023
Del Carmen Barbara Gabriel,23,92,12,19,0,38,26,78,21,339,250,59,47,506,0.9239,144-2021-2022,10-2021-2022,2022-2023
Almansa Jorge,26,92,13,18,1,49,32,32,23,381,152,22,40,338,0.913,47-2021-2022,4-2021-2022,2022-2023
Rodriguez Arabisen,17,42,4,2,0,10,2,12,3,123,74,16,17,199,0.7857,156-2021-2022,11-2021-2022,2022-2023
de Juan David,20,57,9,14,0,25,12,19,2,121,70,20,15,185,0.4035,97-2021-2022,7-2021-2022,2022-2023
Hurtado Mina Ivan Andres,15,45,9,6,0,19,13,37,7,134,103,35,33,300,0.3111,155-2021-2022,11-2021-2022,2022-2023
Fernandez Rodriguez Francisco,19,66,3,14,0,20,8,52,6,187,104,22,32,259,-0.0758,71-2021-2022,6-2021-2022,2022-2023
Biliato Luca,7,20,1,2,0,4,5,18,2,66,39,13,14,86,-0.1,13-2021-2022,1-2021-2022,2022-2023
Blanco Couce Marcos,17,45,6,6,0,12,7,32,3,115,54,27,11,159,-0.2,73-2021-2022,6-2021-2022,2022-2023
Mesquida Pomar Francesc,4,9,1,3,0,6,0,5,1,18,10,2,3,30,-0.2222,38-2021-2022,3-2021-2022,2022-2023
Monfort Minaya Javier,28,109,39,22,0,75,39,102,35,437,378,59,67,768,1.8899,88-2020-2021,6-2020-2021,2021-2022
Makinen Peetu Matias,23,88,33,41,0,101,30,45,31,351,281,47,47,610,1.8636,140-2020-2021,10-2020-2021,2021-2022
Rodriguez Perez Victor,31,98,32,14,0,51,25,46,22,299,246,38,37,511,1.7143,36-2020-2021,3-2020-2021,2021-2022
Madaloz Madaloz Lucas,22,83,36,20,3,72,25,62,15,266,295,76,53,679,1.7108,25-2020-2021,2-2020-2021,2021-2022
Ramon Ferragut Jordi,29,94,29,10,1,47,35,71,22,339,262,49,35,507,1.7021,37-2020-2021,3-2020-2021,2021-2022
Jimenez Gallego Carlos,23,69,25,28,1,76,15,41,9,209,181,15,22,385,1.6522,156-2020-2021,11-2020-2021,2021-2022
Ereu Thomas,25,81,18,13,0,38,12,45,16,270,228,44,29,461,1.5679,46-2020-2021,3-2020-2021,2021-2022
Hage Guillerme,33,114,41,39,2,102,31,84,19,407,304,39,37,596,1.5351,61-2020-2021,5-2020-2021,2021-2022
Benavidez Felipe,26,100,17,25,1,49,33,70,18,360,337,87,51,733,1.53,110-2020-2021,8-2020-2021,2021-2022
Giustiniano Mariano Ariel,23,76,19,11,0,36,19,40,10,250,175,25,24,384,1.4868,80-2020-2021,6-2020-2021,2021-2022
Villalba Zamorano Jose,29,117,42,32,0,90,29,67,27,418,306,57,54,673,1.4274,95-2020-2021,7-2020-2021,2021-2022
Bouza Ferreiro Victor,17,64,11,10,0,23,13,33,11,253,186,31,45,441,1.4219,3-2020-2021,1-2020-2021,2021-2022
Gonzalez Limon Juan Manuel,25,82,17,16,1,57,22,48,7,264,207,42,33,496,1.2927,161-2020-2021,12-2020-2021,2021-2022
Vanole Nogueira Silva Thiago,29,108,44,12,1,69,58,105,22,407,275,49,71,566,1.287,47-2020-2021,4-2020-2021,2021-2022
Almeida Cardoso Leonardo,24,83,24,23,0,52,17,58,7,257,243,58,45,560,1.2048,191-2020-2021,13-2020-2021,2021-2022
Cairus Renzo,28,88,20,5,0,33,6,31,6,243,184,34,34,409,1.2045,164-2020-2021,12-2020-2021,2021-2022
Silva Franca Gabriel Henrique,26,96,24,19,0,47,5,43,6,322,234,36,54,600,1.1563,193-2020-2021,13-2020-2021,2021-2022
Iribarne Fernandez Francisco Javier,27,102,33,36,2,106,31,70,24,406,268,57,50,589,1.1471,154-2020-2021,11-2020-2021,2021-2022
Prades Carnicer Oscar,24,86,20,30,1,64,20,19,17,277,206,52,48,477,1.1163,131-2020-2021,9-2020-2021,2021-2022
Hurtado Mina Ivan Andres,21,65,21,21,0,61,15,40,12,193,155,30,33,341,1.0308,142-2020-2021,10-2020-2021,2021-2022
Jimenez Scull Javier Ernesto,28,98,31,32,2,106,27,62,9,343,239,50,53,549,1.0,150-2020-2021,11-2020-2021,2021-2022
Palharini Marlon,26,63,14,17,5,46,10,25,13,191,115,10,22,266,0.9524,148-2020-2021,11-2020-2021,2021-2022
Munoz Garrote Raul,18,65,21,26,0,67,17,63,6,259,198,31,55,471,0.9385,141-2020-2021,10-2020-2021,2021-2022
Almansa Jorge,32,109,11,34,2,60,15,29,24,484,203,30,42,479,0.844,66-2020-2021,5-2020-2021,2021-2022
Filter Albrecht Caetano,29,105,40,22,0,74,37,85,27,376,233,51,68,595,0.8,52-2020-2021,4-2020-2021,2021-2022
Espelt Nacho,26,96,15,36,0,64,21,59,10,333,236,55,46,645,0.7917,130-2020-2021,9-2020-2021,2021-2022
Dalakouras Anestis,8,27,8,12,0,26,1,22,6,94,64,8,14,151,0.6296,34-2020-2021,2-2020-2021,2021-2022
Ferrandez Moles Emilio,21,58,8,5,1,14,8,13,5,127,76,14,23,189,0.6207,121-2020-2021,9-2020-2021,2021-2022
Gimenez Hernandez Jose Maria,28,111,29,35,0,80,22,61,18,375,240,74,58,605,0.5676,14-2020-2021,1-2020-2021,2021-2022
Fernandez Rodriguez Francisco,25,90,16,17,0,38,23,86,14,251,189,44,30,397,0.5667,108-2020-2021,8-2020-2021,2021-2022
Galindo Sanchez Angel,19,66,13,13,2,36,3,24,6,151,109,24,26,243,0.5455,24-2020-2021,2-2020-2021,2021-2022
Jaunet Gabriel,26,88,10,24,0,35,8,24,13,263,164,42,63,419,0.3295,174-2020-2021,13-2020-2021,2021-2022
Miralles Nyrelius Pedro,23,77,9,28,0,43,17,30,11,217,135,36,53,384,0.1818,181-2020-2021,13-2020-2021,2021-2022
Salvador Esteban Manuel,25,80,12,26,0,50,10,44,14,228,150,43,51,365,0.1,90-2020-2021,7-2020-2021,2021-2022
Del Carmen Barbara Gabriel,28,88,15,18,0,42,20,78,18,315,138,41,38,351,-0.0227,168-2020-2021,12-2020-2021,2021-2022
Jimenez Gallego Carlos,20,67,31,10,0,54,15,41,11,221,207,22,31,425,2.2239,103-2019-2020,8-2019-2020,2019-2020
Monfort Minaya Javier,20,78,23,20,0,48,30,70,20,315,264,51,32,576,1.8462,131-2019-2020,10-2019-2020,2019-2020
Monfort Minaya Javier,20,78,23,20,0,48,30,70,20,315,264,51,32,576,1.8462,139-2019-2020,11-2019-2020,2019-2020
Ereu Thomas,15,51,11,6,0,20,9,29,9,185,141,24,12,283,1.7647,27-2019-2020,2-2019-2020,2019-2020
Bouza Ferreiro Victor,20,78,18,2,2,28,18,34,14,293,250,47,69,590,1.6923,3-2019-2020,1-2019-2020,2019-2020
Rodriguez Perez Victor,19,62,28,9,1,43,15,41,11,189,156,29,15,290,1.6774,15-2019-2020,2-2019-2020,2019-2020
Cairus Renzo,20,72,14,7,0,31,6,28,13,269,176,27,21,363,1.5694,105-2019-2020,8-2019-2020,2019-2020
Munoz Garrote Raul,8,27,6,8,0,17,19,30,11,128,94,22,17,201,1.5556,121-2019-2020,9-2019-2020,2019-2020
Hister Marcelo,19,73,18,5,0,30,8,20,13,257,189,36,42,437,1.5342,136-2019-2020,10-2019-2020,2019-2020
Hage Guillerme,20,65,39,43,5,106,19,55,12,196,198,29,31,372,1.4308,85-2019-2020,7-2019-2020,2019-2020
Ewert Jordan Matthew,20,71,14,23,1,59,15,42,14,269,213,33,48,453,1.338,116-2019-2020,9-2019-2020,2019-2020
Garcia Toribio Pedro Luis,14,55,10,16,0,41,21,63,6,203,193,36,41,385,1.2364,137-2019-2020,11-2019-2020,2019-2020
Gimenez Hernandez Jose Maria,20,75,16,5,0,24,15,36,13,269,192,57,39,452,1.1467,11-2019-2020,1-2019-2020,2019-2020
Vanole Thiago,16,64,27,14,0,56,30,74,10,236,182,35,51,386,1.0156,32-2019-2020,3-2019-2020,2019-2020
Lersch Vinicius,20,76,14,19,0,40,17,43,13,289,183,32,43,435,1.0132,76-2019-2020,6-2019-2020,2019-2020
Artiles Sosa Ruiman,7,24,4,0,0,4,1,4,3,76,39,7,9,88,1.0,125-2019-2020,10-2019-2020,2019-2020
Rojas Guevara Andy,20,72,21,12,1,44,20,46,11,260,199,44,68,496,0.9583,165-2019-2020,12-2019-2020,2019-2020
Almansa Jorge,19,64,15,20,0,49,16,33,13,242,110,10,18,242,0.9375,87-2019-2020,7-2019-2020,2019-2020
Villalba Zamorano Jose,20,72,16,23,1,56,13,31,13,212,153,25,35,342,0.9306,65-2019-2020,5-2019-2020,2019-2020
Rodriguez Arabisen,9,29,5,2,0,9,1,4,2,70,40,7,7,87,0.8966,133-2019-2020,10-2019-2020,2019-2020
Ramon Ferragut Jordi,19,50,15,7,0,22,12,27,12,132,77,13,13,169,0.88,17-2019-2020,2-2019-2020,2019-2020
Moses Edwin Julian,12,43,10,15,2,39,18,40,5,152,105,23,17,227,0.8372,113-2019-2020,9-2019-2020,2019-2020
Prades Carnicer Oscar,19,63,13,18,0,47,10,13,9,172,111,31,22,237,0.7937,62-2019-2020,5-2019-2020,2019-2020
Espelt Nacho,20,76,20,24,1,53,15,46,16,267,158,31,32,458,0.7763,81-2019-2020,6-2019-2020,2019-2020
Iribarne Fernandez Francisco Javier,14,36,5,8,1,19,5,20,8,115,61,9,9,119,0.6667,92-2019-2020,7-2019-2020,2019-2020
Salvador Esteban Manuel,20,71,13,31,0,63,6,34,9,215,180,45,44,396,0.6338,59-2019-2020,5-2019-2020,2019-2020
Palharini Marlon,14,48,5,7,3,21,11,24,9,179,88,20,23,244,0.5625,55-2019-2020,4-2019-2020,2019-2020
Miralles Nyrelius Pedro,20,76,10,24,0,46,12,42,13,265,167,41,54,455,0.3684,149-2019-2020,11-2019-2020,2019-2020
Fernandez Rodriguez Francisco,19,61,13,8,1,30,8,51,6,149,124,30,38,301,0.2787,54-2019-2020,4-2019-2020,2019-2020
Lopez Lopez Cesar,20,61,10,7,1,28,8,33,6,169,73,14,22,187,0.2295,155-2019-2020,12-2019-2020,2019-2020
Blanco Couce Marcos,14,43,6,6,2,17,7,28,3,112,58,19,10,152,0.1395,160-2019-2020,12-2019-2020,2019-2020
Costa Viana Joao Victor,17,58,5,24,1,41,9,24,11,178,74,17,28,196,-0.1034,31-2019-2020,3-2019-2020,2019-2020
