Dorsal,Nombre,Posicion,Altura,Ano_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
1,Garcia Taibo Javier,Receptor,200.0,2000,316.0,330.0,1-2020-2021,2020-2021,1-2020-2021
2,Paradela Corton Miguel,Libero,184.0,2004,305.0,310.0,2-2020-2021,2020-2021,1-2020-2021
3,Bouza Ferreiro Victor,Receptor,187.0,1990,320.0,330.0,3-2020-2021,2020-2021,1-2020-2021
4,Rattray Brandon,Opuesto,195.0,1998,315.0,330.0,4-2020-2021,2020-2021,1-2020-2021
7,Loeches Buitrago Guillermo,Colocador/a,181.0,1996,297.0,306.0,5-2020-2021,2020-2021,1-2020-2021
8,Tarta Razvan Sebastian,Opuesto,188.0,1998,320.0,330.0,6-2020-2021,2020-2021,1-2020-2021
9,Lopez Garcia Ruben,Middle-blocker,200.0,1999,330.0,345.0,7-2020-2021,2020-2021,1-2020-2021
10,Dovale Fidalgo Mario,Libero,185.0,0,310.0,320.0,8-2020-2021,2020-2021,1-2020-2021
11,Villar Alvarez Pablo,Colocador/a,180.0,2002,310.0,320.0,9-2020-2021,2020-2021,1-2020-2021
12,Ofoha Uchenna,Middle-blocker,201.0,1994,346.0,357.0,10-2020-2021,2020-2021,1-2020-2021
13,Mena Romero Pau,Opuesto,197.0,2001,332.0,338.0,11-2020-2021,2020-2021,1-2020-2021
14,Folgueira Fernandez Iago,Middle-blocker,195.0,1994,310.0,316.0,12-2020-2021,2020-2021,1-2020-2021
15,Villar Alvarez Raul,Receptor,183.0,2004,300.0,310.0,13-2020-2021,2020-2021,1-2020-2021
17,Gimenez Hernandez Jose Maria,Receptor,188.0,1995,320.0,340.0,14-2020-2021,2020-2021,1-2020-2021
19,Cela Gonzalez Marcos,Colocador/a,183.0,2004,300.0,310.0,15-2020-2021,2020-2021,1-2020-2021
1,Hoffman Da Cunda Mattheus Alejandro,Middle-blocker,208.0,1991,0.0,355.0,16-2020-2021,2020-2021,2-2020-2021
2,Belda de Vial Luke,Receptor,195.0,2003,0.0,332.0,17-2020-2021,2020-2021,2-2020-2021
3,Morato Noguer Ferran,Receptor,194.0,1993,0.0,342.0,18-2020-2021,2020-2021,2-2020-2021
4,Gimeno Rubio Alvaro,Receptor,205.0,1999,0.0,350.0,19-2020-2021,2020-2021,2-2020-2021
